q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
2,0,20,1,28 x 21
2,1,13,8,14 x 21
q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
3,0,51,1 ,78 x 52
3,1,44,8 ,52 x 52
3,2,25,27,26 x 52
q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
4,0,104,1 ,168 x 105
4,1, 97,8 ,126 x 105
4,2, 76,29, 84 x 105
4,3, 41,64, 42 x 105
q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
5,0,185, 1 ,310 x 186
5,1,178, 8 ,248 x 186
5,2,159, 27,186 x 186
5,3,116, 70,124 x 186
5,4, 61,125, 62 x 186
q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
7,0,455, 1 ,798 x 456
7,1,448, 8 ,684 x 456
7,2,429, 27,570 x 456
7,3,392, 64,456 x 456
7,4,315,141,342 x 456
7,5,220,236,228 x 456
7,6,113,343,114 x 456
q,k_0,Ранг,Размерность кода,Размерность матрицы Таннера (строки x столбцы)
8,0,656, 1 ,1168 x 657
8,1,649, 8 ,1022 x 657
8,2,630, 27,876 x 657 
8,3,593, 64,730 x 657 
8,4,520,137,584 x 657 
8,5,411,246,438 x 657 
8,6,284,373,292 x 657 
8,7,145,512,146 x 657 
